from,to,timeframe
afdelingsassistent-fwg20,zorgassistent-fwg30,1-2 jaar
zorgassistent-fwg30,dialyse-assistent-fwg40,2-3 jaar
zorgassistent-fwg30,mbo-verpleegkundige-fwg45,
dialyse-assistent-fwg40,mbo-verpleegkundige-fwg45,1-2 jaar
spreekuurassistent-fwg30,polikliniek-assistent-fwg35,1-2 jaar
polikliniek-assistent-fwg35,medisch-assistent-fwg40,1-2 jaar
medisch-assistent-fwg40,polikliniek-verpleegkundige-fwg45,2-3 jaar
medisch-assistent-fwg40,mbo-verpleegkundige-fwg45,
mbo-verpleegkundige-fwg45,hbo-verpleegkundige-fwg50,2-4 jaar
mbo-verpleegkundige-baz-fwg45,hbo-verpleegkundige-baz-fwg50,2-4 jaar
mbo-verpleegkundige-fwg45,oncologie-verpleegkundige-fwg50,
mbo-verpleegkundige-fwg45,kinderverpleegkundige-fwg50,
mbo-verpleegkundige-fwg45,verpleegkundige-obstetrie-fwg50,
mbo-verpleegkundige-fwg45,neuro-verpleegkundige-fwg50,
mbo-verpleegkundige-fwg45,geriatrie-verpleegkundige-fwg50,
mbo-verpleegkundige-fwg45,psychiatrisch-verpleegkundige-fwg50,
mbo-verpleegkundige-fwg45,neonatologie-verpleegkundige-fwg50,
mbo-verpleegkundige-fwg45,dialyse-verpleegkundige-fwg50,
mbo-verpleegkundige-fwg45,endoscopie-verpleegkundige-fwg50,
mbo-verpleegkundige-fwg45,avond-nacht-coordinator-fwg50,
mbo-verpleegkundige-fwg45,pacu-verpleegkundige-fwg50,
mbo-verpleegkundige-fwg45,ic-verpleegkundige-fwg55,
mbo-verpleegkundige-fwg45,seh-verpleegkundige-fwg55,
mbo-verpleegkundige-fwg45,ccu-verpleegkundige-fwg55,
mbo-verpleegkundige-fwg45,operatieassistent-fwg55,
mbo-verpleegkundige-fwg45,anesthesiemedewerker-fwg55,
mbo-verpleegkundige-fwg45,gipsverbandmeester-fwg55,
mbo-verpleegkundige-fwg45,interventielaborant-fwg55,
mbo-verpleegkundige-baz-fwg45,oncologie-verpleegkundige-fwg50,
mbo-verpleegkundige-baz-fwg45,kinderverpleegkundige-fwg50,
mbo-verpleegkundige-baz-fwg45,verpleegkundige-obstetrie-fwg50,
mbo-verpleegkundige-baz-fwg45,neuro-verpleegkundige-fwg50,
mbo-verpleegkundige-baz-fwg45,geriatrie-verpleegkundige-fwg50,
mbo-verpleegkundige-baz-fwg45,psychiatrisch-verpleegkundige-fwg50,
mbo-verpleegkundige-baz-fwg45,neonatologie-verpleegkundige-fwg50,
mbo-verpleegkundige-baz-fwg45,dialyse-verpleegkundige-fwg50,
mbo-verpleegkundige-baz-fwg45,endoscopie-verpleegkundige-fwg50,
mbo-verpleegkundige-baz-fwg45,avond-nacht-coordinator-fwg50,
mbo-verpleegkundige-baz-fwg45,pacu-verpleegkundige-fwg50,
mbo-verpleegkundige-baz-fwg45,ic-verpleegkundige-fwg55,
mbo-verpleegkundige-baz-fwg45,seh-verpleegkundige-fwg55,
mbo-verpleegkundige-baz-fwg45,ccu-verpleegkundige-fwg55,
mbo-verpleegkundige-baz-fwg45,operatieassistent-fwg55,2-3 jaar
mbo-verpleegkundige-baz-fwg45,anesthesiemedewerker-fwg55,2-3 jaar
mbo-verpleegkundige-baz-fwg45,interventielaborant-fwg55,
mbo-verpleegkundige-baz-fwg45,gipsverbandmeester-fwg55,
hbo-verpleegkundige-fwg50,oncologie-verpleegkundige-fwg50,1-2 jaar
hbo-verpleegkundige-fwg50,kinderverpleegkundige-fwg50,1-2 jaar
hbo-verpleegkundige-fwg50,verpleegkundige-obstetrie-fwg50,1-2 jaar
hbo-verpleegkundige-fwg50,neuro-verpleegkundige-fwg50,1-2 jaar
hbo-verpleegkundige-fwg50,geriatrie-verpleegkundige-fwg50,1-2 jaar
hbo-verpleegkundige-fwg50,psychiatrisch-verpleegkundige-fwg50,1-2 jaar
hbo-verpleegkundige-fwg50,neonatologie-verpleegkundige-fwg50,1-2 jaar
hbo-verpleegkundige-fwg50,dialyse-verpleegkundige-fwg50,1-2 jaar
hbo-verpleegkundige-fwg50,endoscopie-verpleegkundige-fwg50,1-2 jaar
hbo-verpleegkundige-fwg50,avond-nacht-coordinator-fwg50,2-3 jaar
hbo-verpleegkundige-fwg50,pacu-verpleegkundige-fwg50,1-2 jaar
hbo-verpleegkundige-fwg50,ic-verpleegkundige-fwg55,2-3 jaar
hbo-verpleegkundige-fwg50,seh-verpleegkundige-fwg55,2-3 jaar
hbo-verpleegkundige-fwg50,ccu-verpleegkundige-fwg55,2-3 jaar
hbo-verpleegkundige-fwg50,operatieassistent-fwg55,
hbo-verpleegkundige-fwg50,anesthesiemedewerker-fwg55,
hbo-verpleegkundige-fwg50,interventielaborant-fwg55,
hbo-verpleegkundige-fwg50,gipsverbandmeester-fwg55,
hbo-verpleegkundige-fwg50,deskundige-infectiepreventie-fwg60,
hbo-verpleegkundige-fwg50,physician-assistant-fwg60,
hbo-verpleegkundige-fwg50,verpleegkundig-specialist-fwg60,
hbo-verpleegkundige-fwg50,teamleider-kliniek-fwg55,
hbo-verpleegkundige-fwg50,teamleider-a-fwg60,
hbo-verpleegkundige-fwg50,teamleider-acute-as-fwg60,
hbo-verpleegkundige-fwg50,Praktijkopleider-fwg50,
hbo-verpleegkundige-fwg50,Kwaliteitsfunctionaris-fwg50,
hbo-verpleegkundige-fwg50,medisch-hulpverlener-fwg55,2-3 jaar
hbo-verpleegkundige-baz-fwg50,oncologie-verpleegkundige-fwg50,
hbo-verpleegkundige-baz-fwg50,kinderverpleegkundige-fwg50,
