id,label,department,level,salary,description,requirements,irregularity,roles,werkenbijlink,Care/non care,cluster,Link naar PIO werkenbij (ter bespreking)
Medewerker inkoopadministratie-fwg40,medewerker inkoopadministratie,Inkoop & Logistiek,vakman administratie D,FWG 40,verleent administratieve taken binnen inkoop,MBO,regular,,geen,non care,Inkoop & Logistiek,
Gegevensbeheerder-fwg50,gegevensbeheerder,Inkoop & Logistiek,vakman administratie B,FWG 50,verleent administratieve en analytische taken binnen inkoop,MBO,regular,,geen,non care,Inkoop & Logistiek,
Junior Inkoper-fwg50,junior inkoper,Inkoop & Logistiek,inkoopfunctionaris C,FWG 50,verzorgt inkooptrajecten op junior niveau en contractbeheer,MBO / NEVI of vergelijkbaar ,regular,,geen,non care,Inkoop & Logistiek,
Inkoper-fwg60,inkoper,Inkoop & Logistiek,Inkoopfunctionaris A,FWG 60,verantwoordelijk voor inkooptrajecten binnen accounts binnen ETZ; is accountverantwoordelijk,HBO / NEVI of vergelijkbaar,regular,,geen,non care,Inkoop & Logistiek,
Contractmanager-fwg60,contractmanager,Inkoop & Logistiek,Beleidsadviseur C,FWG60,verantwoordelijk voor contractmanagement etz brede overeenkomsten,HBO,regular,,geen,non care,Inkoop & Logistiek,
Beleidsadviseur-fwg60,beleidsadviseur,Inkoop & Logistiek,Beleidsadviseur C,FWG60,beleidsadvies op supply chain,HBO,regular,,geen,non care,Inkoop & Logistiek,
Teamleider-fwg60,teamleider,Inkoop & Logistiek,Teamleider A,FWG60,teamleider voor afdeling Inkoop,HBO,regular,,geen,non care,Inkoop & Logistiek,
Assortimentsspecialist-fwg55,assortimentsspecialist,Inkoop & Logistiek,Inkoopfunctionaris B,FWG55,Verantwoordelijk voor ETZ-brede medische verbruiksmiddelen,HBO / LNAG,regular,,geen,non care,Inkoop & Logistiek,
Teamleider-fwg50,teamleider,Inkoop & Logistiek,Teamleider C,FWG50,verantwoordelijk voor aansturing team logistiek,HBO,regular,,geen,non care,Inkoop & Logistiek,
Teamleider-fwg55,teamleider,Inkoop & Logistiek,Teamleider B,FWG55,verantwoordelijk voor aansturing team logistiek,HBO,regular,,geen,non care,Inkoop & Logistiek,
Logistiek medewerker C1-fwg30,logistiek medewerker C,Inkoop & Logistiek,medewerker logistiek  C1,FWG30,voert logistieke en administratieve taken uit,MBO3,regular,,geen,non care,Inkoop & Logistiek,
Logistiek medewerker D-fwg25,logistiek medewerker D,Inkoop & Logistiek,medewerker logistiek D1,FWG25,voert logistieke taken uit,MBO3,regular,,geen,non care,Inkoop & Logistiek,
Logistiek medewerker E-fwg20,logistiek medewerker E,Inkoop & Logistiek,medewerker logistiek  E,FWG20,voert logistieke taken uit,VMBO,regular,,geen,non care,Inkoop & Logistiek,
medewerker afdelingslogistiek-fwg20,medewerker afdelingslogistiek,Inkoop & Logistiek,medewerker logistiek E3,FWG20,voert logistieke taken uit,VMBO,regular,,geen,non care,Inkoop & Logistiek,
chauffeur-fwg25,Chauffeur,Inkoop & Logistiek,medewerker Logistiek D1,FWG25,Chauffeur op vrachtwagen,MBO 2 + Rijbewijs C + code 95,regular,,geen,non care,Inkoop & Logistiek,
coordinator logistiek-fwg35,coördinator Logistiek,Inkoop & Logistiek,medewerker Logistiek C1 + add coördinator D,FWG35,procesverantwoordelijk binnen logistiek,MBO,regular,,geen,non care,Inkoop & Logistiek,
medewerker Post/Reprografie-fwg25,medewerker postkamer en reproductie,Inkoop & Logistiek,facilitair medewerker B,FWG25,verantwoordelijk voor postkamer ETZ,MBO2,regular,,geen,non care,Inkoop & Logistiek,
hoofd inkoop en logistiek-fwg70,hoofd inkoop en logistiek,Inkoop & Logistiek,hoofd,FWG70,Verantwoordelijk voor algehele aansturing inkoop en logistiek,HBO,regular,,geen,non care,Inkoop & Logistiek,
Medewerker Receptie & Registratie-fwg35,medewerker Receptie & Registratie,Veiligheid & Ontvangst,vakman Administratie E,FWG35,"beheert de receptie hoofdingang, schrijft nieuwe patienten in, controleert persoonsgegevens, beheert de telefooncentrale van het ETZ",MBO,semi irregular,,geen,non care,Veiligheid & Ontvangst,
Coordinator vrijwilligerswerk-fwg45,coordinator vrijwilligerswerk,Veiligheid & Ontvangst,coordinator vrijwilligerswerk,FWG45,vind en bind vrijwilligers die oog en oor hebben voor onze patienten ,MBO,regular,,geen,non care,Veiligheid & Ontvangst,
Teamleider Receptie & Registratie en Vrijwilligerwerk-fwg55,teamleider Receptie & Registratie en Vrijwilligerswerk,Veiligheid & Ontvangst,Teamleider,FWG55,teamleider van receptie & registratie en coordinatoren vrijwilligerswerk,HBO,regular,,geen,non care,Veiligheid & Ontvangst,
Medewerker restauratieve voorzieningen-fwg20,Medewerker restaurant,fsp & catering,medewerker restaurant B,FWG20,Alle voorkomende werkzaamheden in horeca oulets,VMBO,regular,,geen,non care,fsp & catering,
Keuken assistent-fwg15,Medewerker schoonmaak,fsp & catering,Medewerker huishoudelijke dienst B2,FWG15,Vaatwaswerkzaamheden en overige schoonmaaktaken,VMBO,regular,,geen,non care,fsp & catering,
Leerlingkok,Kok in opleiding,fsp & catering,Leerling kok in opleiding,,Opleiding tot kok.,,regular,,geen,non care,fsp & catering,
Assistentkok-fwg25,Assistentkok,fsp & catering,Assistentkok,FWG25,Assisteert de kok.,,regular,,geen,non care,fsp & catering,
